model,model_level,lambda_orthogonal,driver_ref,driverId,old_constructor_ref,new_constructor_ref,old_season,new_season,round,raceId,actual,pred_new,pred_old,delta,old_tier,new_tier,tier_dir
model_no_orthogonal,zero,0.0,sainz,831,ferrari,williams,2024,2025,8,486,10.0,4.401576042175293,3.619460105895996,0.7821159362792969,S,B,-2.0
model_no_orthogonal,zero,0.0,colapinto,860,williams,alpine,2024,2025,8,486,13.0,7.655932426452637,6.199530124664307,1.45640230178833,B,A,1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,haas,sauber,2024,2025,8,486,16.0,5.62437105178833,6.016350269317627,-0.3919792175292969,B,B,0.0
model_no_orthogonal,zero,0.0,tsunoda,850,rb,red_bull,2024,2025,8,486,17.0,4.918231964111328,4.543877601623535,0.37435436248779297,B,S,2.0
model_no_orthogonal,zero,0.0,hulkenberg,807,haas,sauber,2024,2025,9,487,5.0,6.204724311828613,6.596703052520752,-0.39197874069213867,B,B,0.0
model_no_orthogonal,zero,0.0,hamilton,0,mercedes,ferrari,2024,2025,9,487,6.0,1.4633742570877075,1.6356831789016724,-0.17230892181396484,S,S,0.0
model_no_orthogonal,zero,0.0,tsunoda,850,rb,red_bull,2024,2025,9,487,13.0,6.517581462860107,6.157881736755371,0.35969972610473633,B,S,2.0
model_no_orthogonal,zero,0.0,sainz,831,ferrari,williams,2024,2025,9,487,14.0,5.799444198608398,5.025230407714844,0.7742137908935547,S,B,-2.0
model_no_orthogonal,zero,0.0,colapinto,860,williams,alpine,2024,2025,9,487,15.0,7.4880218505859375,6.0326385498046875,1.45538330078125,B,A,1.0
model_no_orthogonal,zero,0.0,ocon,838,alpine,haas,2024,2025,9,487,16.0,6.451966285705566,7.318610668182373,-0.8666443824768066,A,B,-1.0
model_no_orthogonal,zero,0.0,hamilton,0,mercedes,ferrari,2024,2025,10,488,6.0,1.4633742570877075,1.6356831789016724,-0.17230892181396484,S,S,0.0
model_no_orthogonal,zero,0.0,hulkenberg,807,haas,sauber,2024,2025,10,488,8.0,5.5446953773498535,5.93667459487915,-0.3919792175292969,B,B,0.0
model_no_orthogonal,zero,0.0,ocon,838,alpine,haas,2024,2025,10,488,9.0,6.038505554199219,6.905150413513184,-0.8666448593139648,A,B,-1.0
model_no_orthogonal,zero,0.0,sainz,831,ferrari,williams,2024,2025,10,488,10.0,5.5929365158081055,4.818722724914551,0.7742137908935547,S,B,-2.0
model_no_orthogonal,zero,0.0,tsunoda,850,rb,red_bull,2024,2025,10,488,12.0,5.010162830352783,4.616011619567871,0.3941512107849121,B,S,2.0
model_no_orthogonal,zero,0.0,colapinto,860,williams,alpine,2024,2025,10,488,13.0,5.981147766113281,4.545688629150391,1.4354591369628906,B,A,1.0
